,0
0,terra1qqqz5f2l5epfft7l08wvp8qddhtapk437fy07t
1,terra1qqqd3quektp2vvt9ypu4lg87dlkvlzvldt5k03
2,terra1qqq0tgxmwn73zp8mjadmzdgq4way4mztvw58dc
3,terra1qqq3fhrqe93x3evhwzwvy56d3cl8exxs7evada
4,terra1qqzmfsgrycpshg02pnlra4tfvsgk3l7wjrjy28
5,terra1qqrqtl8uvn7mfre0vxdxvczjv663zmc9q9g363
6,terra1qqrxytjt26z2rcsc27zzdqx24275ku2hdgnqs6
7,terra1qqy25wjdz7gzdn93tm2ve60ccf8k494dxxcvc9
8,terra1qq9zx5pvag7mk5s0z5d2njz6sve7z7qcnd2p63
9,terra1qq9hhyqk0rvrl2qxw8n27pf489hvyryd7vacce
10,terra1qq9el69m2eg305rujpeh273vsldv7662lk9flu
11,terra1qq8xq768s79al0espc9l68pza2gty67jl9lfsy
12,terra1qq8x3ufxkk8lxwq93zp37qlcmeqm7fyv442qus
13,terra1qq8ndxqz42j8gus742n7e0wzuaejd2rgg60nem
14,terra1qq8nhs4j54tsrkf2fu7563henu25p6n5s60ce4
15,terra1qq8k59w5erp56xemr2qmxy8jys77r3wmnk4phx
16,terra1qqgd6cxdyp3p3625gq2vk0cqvwth9tmxzvxprp
17,terra1qqgmp8hkf8kxp45kqqwum4s09vzs7xhr9rtwe4
18,terra1qqffxprvyt30z0vf25uzely34ecmg9qu4gysxg
19,terra1qqf35mcq2x3c00nh6xd9ev92s8s67ntt5ggh80
20,terra1qqfnx5dy6yypynw53n7xfgkhvx2eptcksvw76r
21,terra1qqfamxhu4aepzq8zn35ju6z4zs35v7rev4mrj8
22,terra1qq2q0vqla49p6zcnvqpqngmf6sun5tqrclh4u5
23,terra1qq2wqw2ex7magzhk5yda7pnlxgskh2nwsr3xr6
24,terra1qq2wfyf3s4p78hwzua4qhw83mj5v62s8nshghg
25,terra1qq24ecqrcuhjqyw79d9w3evs4w9e7gh8u7ctvf
26,terra1qqvlrz4wkw0dyvd63v2dp76ec6du89eqhwm3wm
27,terra1qqd9zkm9yz7f68wyxpy2kfc82vr9r7kk4wstm8
28,terra1qqd04e9fte2sshm3uy7q5sux6wm34hyguprjtl
29,terra1qqwpace2x6t4zxdmhev60xna7hnmlhuk085d4s
30,terra1qqwnl74sjvy64cm33ygfs43d76al330zctd9s6
31,terra1qq0pm5wgdnanwzldt3seng0tw4yvz569l3d2hv
32,terra1qq0925uj89n8wdmzql0arcnadsqnqcualcnwk5
33,terra1qq3pugdjuqe7tpt05mddqc7gws8m2eltvx2nuc
34,terra1qq3tgasqm5sfjpkglau8wgflj2uh6ma3ga9z88
35,terra1qq3aghrzfga7u46xtwer8vyvn64q53y9wnwsth
36,terra1qqj02enhq8ved0un4jp2mx09qghpxvu6yvgvaa
37,terra1qqnzwpjngmtxh9f6mq3lvtz9v0uwzl6udlky9m
