,DEPOSIT_AMOUNT,DEPOSIT_TXS,SENDER,WITHDRAWN_AMOUNT,WITHDRAW_TXS
0,100.0,1,terra1kne4ul6n405w769k2p6swx7x4ep30rv24099r8,0.0,0
1,10000.0,1,terra1nf4spkar3cdc9x5cflvxretr4qug43tqv58qxl,0.0,0
2,14970.608264,1,terra13ahpu2w8lrl7z7g6tu78un67w8vdlvh5ghkd9w,0.0,0
3,5000.0,1,terra1cwgaynf2vtgrjvkj4xhya0eetytz5p0t8rhchu,0.0,0
4,1000.0,1,terra1jnvga8p33vzgsjq05y6xmrpxk9ernl5lgsrnx9,0.0,0
5,150.0,1,terra13ulckufwx4xdx7yc3guts2sj82u0s42gt7a06j,0.0,0
6,23.939,2,terra1ra0kckre0uzslz9pp995gch4ryuguuw02qe9v0,0.0,0
7,200.0,1,terra14m97zejmhx9anfep2jpkmnpuggxx8gahspqld9,0.0,0
8,80.0,1,terra1qa6yva4vvt7yek9gpk4d8v7pfascq3rk6e7m0u,0.0,0
9,200.0,1,terra1jxp0l82xs45c0vv7krkdt7nql5k4l6yfvq8nk6,0.0,0
10,2000.0,1,terra1h4nf2h8nl2cga98e42glg4pcqugmgts62ttksp,0.0,0
11,200.0,1,terra15yu46xpjxqkmmuy2nyt2tkvzfdjpnrte6qj3u6,0.0,0
12,1664.538063,1,terra1urk2mewjhyukz4w2vwuemqd4lmznq40npd7qzz,0.0,0
13,1000.0,1,terra1emnlyfrl8qu0aqvsmjqzjcecyu6z39g60ge9wv,0.0,0
14,100.0,1,terra1nrg8s0wtd2z0xyl26u669qh87qcn2ql0wepvhj,100.0,1
15,300.0,1,terra1lf6ye6578m7red5m26d3cvcwk5738w4znywc3v,0.0,0
16,500.0,1,terra17qm4a0hyd6ztdujfzw30706vuurtelx5u3ea7s,0.0,0
17,350.0,3,terra1hr9lwr3shat46d5myypw7j3henh82zhx2r03hw,0.0,0
18,25000.0,1,terra18s82gpq5emkw03dpplxalj03pnkmlxtdg0895g,0.0,0
19,200.0,1,terra1zpaf4z4lcwak497due5l44vc505acjqgnm6t94,0.0,0
20,24.5,1,terra1p9ujjc2g7zqhg2yec05mth7vhmg3qvkhvnwh34,0.0,0
21,131.317235,1,terra12hqkpdx5s6wd8gqce2pyhmqxqqxap6598eu3jd,0.0,0
22,800.0,1,terra1hekrvvh9hewt5g7cm6tssz720d9fusp237fm2z,0.0,0
23,162.0,1,terra1kt8hckmevzk8jevp7w860t7yg6s8kf0tfjth8n,0.0,0
24,100.0,1,terra144rt8dzt8vqpgh72pue0ekf0aefkcjer5r7dr0,0.0,0
25,10.0,1,terra1jpdtzhykan7ryk3az3h2348ypxhmx98hm79tzj,0.0,0
26,1300.0,1,terra196zg7h99yp9hd59h5j46v7500dt8ctajhff56g,0.0,0
27,4250.0,2,terra197rhtfe74g6gzs2aslc3wuhj4vma6fswl9p6xv,0.0,0
28,10.0,1,terra1lv845g7szf9m3082qn3eehv9ewkjjr2kdyz0t6,0.0,0
29,130.0,2,terra1k08scaeuva6uk4ek7tqpmr8djhzzrtvlnfsty7,0.0,0
30,100.0,1,terra1fez30d5ehkv8mcresklld8sula0pccfkm07qgm,0.0,0
31,398.566001,1,terra1gg29mh0m3wumem68s6mxjajzmy5jfm6lnjt4sa,0.0,0
32,1800.0,2,terra1hjw9gmz0gcme60y9gp6qghfxq489pvw4htw90n,0.0,0
33,200.0,1,terra1azcdjn5ftzzg5ajn9syvrxqtru3h42t27smcc7,0.0,0
34,1790.0,1,terra1dyvqx4xxyc0kf02tt7eru04jd6v6dgjcpqw37n,0.0,0
35,5000.0,1,terra10cs4vcuf5h5ty7zq7zgulzh6l0l8nqy9nkezua,0.0,0
36,1000.0,1,terra10s3tl7zvg0s4g9u6rx06a76hjgqx7mzjhxtf7d,0.0,0
37,656.401787,1,terra1unr4e7kvd9h4er8cv5h5swtag06d3v08gq3kjp,0.0,0
38,1000.0,1,terra1ej8c0kp0rh0vxsgatu9cal6z8tnje7a33t4c2y,0.0,0
39,50.0,1,terra157tjkg6p2qmssd2vjkjr6dgpphz939838pmx9h,0.0,0
40,800.0,1,terra1waygfs0al76n6uw72n0jykum2444dqyf8kkxpv,0.0,0
41,2.378564,3,terra1t3wjc8k3xuzu2hnwx2veazvngm260ucgx3g7p2,0.0,0
42,60.0,1,terra1wlz4l8rw7pm32hsltlz79qmkzh69qn2t495d82,0.0,0
43,6000.0,1,terra1x94pzlxjr5zdc2xf7tcu67snz7ukulnqj90mp5,0.0,0
44,1000.0,2,terra13rsm8fztmuhv2qpu69symmch035ggu5u04ttmh,0.0,0
45,7805.0,2,terra16muu5nz85ykkgekfqst0x9hjl3jmr2aacqpfw9,0.0,0
46,130.0,1,terra1nah9kudfq6h7nyjkpdvlx65tpj5yd356ywvmwq,0.0,0
47,500.0,1,terra1x8cv76jmv539522g4aeevcsvcenpvgpw2zdvr0,0.0,0
