,sender,deposit,total_deposit,withdrawable_amount,tokens_to_claim,can_claim
0,terra1v6ujue0uqd9nzgtqvuhwncaqd9q6hacvsfur7x,400.0,10736423.539727,400.0,2607.944805,False
1,terra17js7wjaq8w80khztfa9ydz0etdgzy4l7t8yfsa,100.0,10736423.539727,100.0,651.986201,False
2,terra1frsd6nayz25encp6w6m8z00g5ue4j6fp4q0pza,0.0,10736423.539727,0.0,0.0,False
3,terra1lcrwyxn8apvxu9jdvu6jk6myeey0z64e22du4k,185.0,10736423.539727,185.0,1206.174472,False
4,terra1nrg8s0wtd2z0xyl26u669qh87qcn2ql0wepvhj,0.0,10736423.539727,0.0,0.0,False
5,terra1hx6ea4yxz7lhex5xv329475zlrzxvx57qmjylm,0.0,10736423.539727,0.0,0.0,False
6,terra1t4qagk0vukvwttjm3myzdqav8yr2gx6d7jssra,0.0,10736423.539727,0.0,0.0,False
7,terra1xswthhdas6d5xu4x2ffa3zs2cc7mh80ywfavg4,155.0,10736423.539727,155.0,1010.578612,False
8,terra1f8qwvzrqt0plehvck3gst2clvsvxccckjk37hz,1000.0,10736423.539727,1000.0,6519.862013,False
9,terra1q62uql0ht63x9ax7pwx35wpthrufltm42evrhf,115.0,10736423.539727,115.0,749.784131,False
10,terra1m86d54uysyp78rhjm9tt0e9terq06au40xt5ep,25.0,10736423.539727,25.0,162.99655,False
11,terra186guheda2t5kn42s6vyjzlar8syldm2a6u8596,10.0,10736423.539727,10.0,65.19862,False
12,terra17afzqaf9nyavkk7fxdqpkf5nmtpkk3rw6hwksz,800.0,10736423.539727,800.0,5215.88961,False
13,terra1l9p47qdmgtxhlnwm8na7yyxmyzuchqw7mqlxzf,500.0,10736423.539727,500.0,3259.931006,False
14,terra1hahwdn92a4mvl543sqe0ku7upszvaj4r20k8ut,100.0,10736423.539727,100.0,651.986201,False
15,terra1cr52eqz5gp8l6ykvus90ty6pthvgs2y3lazqyw,1456.510772,10736423.539727,1456.510772,9496.249254,False
16,terra1e78gjlq6racew9mr9rm2ld6ludml4v364gv2zr,55.0,10736423.539727,55.0,358.59241,False
17,terra13emdyum6s7v3vaew833euut7fd9ggw780ut3sj,500.0,10736423.539727,500.0,3259.931006,False
18,terra13tme8mujnm8j4p0etylem779r68e3lht3x223j,12465.110423,10736423.539727,12465.110423,81270.799943,False
19,terra1hs034n5fr9ny55v4gpkqpl4pqhz4t6x9g6lf60,1400.0,10736423.539727,1400.0,9127.806819,False
20,terra1splzf3yqd65th5qz4r54xdly2dzsew3qn99m7p,400.0,10736423.539727,400.0,2607.944805,False
21,terra1m9x3vzpgvdmuvxtcu24mzfycvwxyg3a60vfsz9,1000.0,10736423.539727,1000.0,6519.862013,False
22,terra1chgajhx5c66mzl7nd55cj6h0344qm3jg0ttnz8,500.0,10736423.539727,500.0,3259.931006,False
23,terra1e8a0wj3eh5u9wl222rh6l2uhdrafh5472htjxs,500.0,10736423.539727,500.0,3259.931006,False
24,terra1776hjt9jmzlkkucj9tycvhj3wj7m64wsc7t7fz,1555.0,10736423.539727,1555.0,10138.385431,False
25,terra1h5uvce0xfseaf7x4cahyfdfqa3z7d8fqemljjw,44.161194,10736423.539727,44.161194,287.924891,False
26,terra14xgv060e0v0ww2ljelhy5598vwlmkwv8v4w6lq,5.0,10736423.539727,5.0,32.59931,False
27,terra1ev6dvpetzta2x9dxydwjpkh5y89cmrwgr9yrqz,10.0,10736423.539727,10.0,65.19862,False
28,terra1csxqptsve542l3d37gftnud40xyflwqg7lrvy6,2075.0,10736423.539727,2075.0,13528.713678,False
29,terra18q6rud5uv3qep3373n0mynxe3400w408wck7f0,60.0,10736423.539727,60.0,391.19172,False
30,terra1sfrd2dj739qc2cp6z2m5346nap7z9wqruxswwl,50.0,10736423.539727,50.0,325.9931,False
31,terra1h0u9n7r5mseddmlehppeuj4xaa6jsklakyv7s0,2000.0,10736423.539727,2000.0,13039.724027,False
32,terra1l09qd7s6qcdsl028ryg9kgcvp3xc0t5ur3gy4m,993.0,10736423.539727,993.0,6474.222979,False
33,terra1tvxfc7t3g8jumzutfq94unc6nvxzkjgwatpzgt,50.0,10736423.539727,50.0,325.9931,False
34,terra1wg803g0y4mpaw2cq2hymhu7ts5jl9fj0g2zt4l,5.0,10736423.539727,5.0,32.59931,False
35,terra1vj3cvcmdjcqa4wls5xe8qnhcamurujfu3a0rlz,38.86272,10736423.539727,38.86272,253.379571,False
36,terra1xq80mlclfcep7c4sh9ztfep7yyg0ju2zpz7vwh,0.0,10736423.539727,0.0,0.0,False
37,terra1x94pzlxjr5zdc2xf7tcu67snz7ukulnqj90mp5,6000.0,10736423.539727,6000.0,39119.172082,False
38,terra1qpgccpwkylgf0ugv0xyp5qy4klk067xetjfwuv,300.0,10736423.539727,300.0,1955.958604,False
39,terra1n39w6e7s0uvpvr6yljyxcx89a44vpejg5dggsn,5000.0,10736423.539727,5000.0,32599.310068,False
40,terra1xfkl2zfajq746f0lxgqm0gu702ddqgvaktu4h8,100.0,10736423.539727,100.0,651.986201,False
41,terra1ejckn6tpvrfg0awvkprck6vhk8rx2tl53lqnf5,200.0,10736423.539727,200.0,1303.972402,False
42,terra1al5gy0yq4ngzpqxyc5z7j45c0rud0mmk9uuv96,480.0,10736423.539727,480.0,3129.533766,False
43,terra1x9z5c7hwpj567h3kzc3jeyx7lz6ux4hpws0s4c,200.0,10736423.539727,200.0,1303.972402,False
44,terra13vvcn8qpd65gqklxvjm03arlcwrk4nvhlq45z2,700.0,10736423.539727,700.0,4563.903409,False
45,terra1jv0j5sc4szzpqeezrttvzwhpp3yq7aydjhv3eu,1000.0,10736423.539727,1000.0,6519.862013,False
46,terra14fxar744m7lwkzg6vkr458tum7av9zv88hgat0,1000.0,10736423.539727,1000.0,6519.862013,False
47,terra1w6kelt6gujgjjjy7wkq6hg8v76znj8edrzl7jy,50.874747,10736423.539727,50.874747,331.69633,False
48,terra13xd52a69p6fcqercg2h6llla2a0rjqvaznmpvc,19987.0,10736423.539727,19987.0,130312.482068,False
49,terra1fug7nfcu8y8y00k9c03g3e3d3m0vdnjl2s6cuh,503.057691,10736423.539727,503.057691,3279.86673,False
50,terra16ssew6dlmp8g4mh0kp88nfgu4cyv8whexgs8y8,9.5,10736423.539727,9.5,61.938689,False
51,terra1l9sm705f8uf7lz7twsg48wtfvkwc0mjkqufmua,80.0,10736423.539727,80.0,521.588961,False
52,terra1k63rxft67yw95wetr7z6700vagpryae6vzhchs,13.790583,10736423.539727,13.790583,89.912698,False
53,terra1ynrvyngpwgv3e6hk9ngsvzys8ecqsz3gfzsw0v,100.0,10736423.539727,100.0,651.986201,False
54,terra1spj5vl77p9xeka4j77hn4z2rhn3xv6p593uwyx,100.0,10736423.539727,100.0,651.986201,False
55,terra1k6lmzym9sts2ngg07cn2kdpax6m5z2m48wz2ht,474.158934,10736423.539727,474.158934,3091.450822,False
56,terra1t4tj0mw68y29rxv4546knz9ejk9qms8wgkxkmr,52.627733,10736423.539727,52.627733,343.125557,False
57,terra1fg7a9ppzyqm5pvlwcwlx3eme5nyn7843agp6vs,20.0,10736423.539727,20.0,130.39724,False
58,terra136k9susej3tpt6jlf5vm8ke2wc2n0u7yu2zcp3,0.0,10736423.539727,0.0,0.0,False
59,terra1lglujukexnwsvc6jwncjp20d7cavcl565z6hul,2500.0,10736423.539727,2500.0,16299.655034,False
